"LN","Price","STAT","Address","AR","City","CNTY","BR","BAF","BAH","YR","ZIP","ELEM","MS","HS","LA - Agt Name","LA - Phone"
"8127479","$175,000","A","4146 Sautee Trl","43","Conley","DeKalb","4","2","1","1991","30288-1343","Cedar Grve","Cedar Grov","Cedar Grv","Lenora A Luckett","Phone: 404-429-1364"
"8113742","$175,000","A","2749 Majestic Cir","63","Dacula","Gwinnett","3","2","0","1985","30019","Dacula","Dacula","Dacula","Mark Mitchell","Phone: 470-223-2155"
"8115853","$175,000","A","525 Bigelow Ct","33","Atlanta","Fulton","3","2","1","2006","30349","Seabrn Lee","Camp Creek","Westlake","Joel Athy","Phone: 678-525-8335"
"8123405","$176,400","A","6680 Jules Trce","33","Palmetto","Fulton","4","2","1","2017","30268","E C West","Bear Creek","Creekside","Felecia Sneed","Phone: 7708961200"
"8114160","$176,500","A","3377 Split Wood Way","73","Powder Springs","Cobb","3","3","0","1991","30127","Varner","Tapp","Mceachern","Alesha Tardieff","Phone: 6788292292"
"8119218","$176,900","A","7478 St David St","32","Fairburn","Fulton","3","2","0","2017","30213","E C West","Bear Creek","Creekside","Dale Hill",
"8127287","$176,900","A","2232 Vintage Oaks Dr","65","Loganville","Gwinnett","3","2","1","1999","30052-5169","Rosebud","Grace Snl","S Gwinnett","Scott Lewis","Phone: 770-294-2110"
"8122572","$176,990","A","1933 Pleasant Walk","42","Lithonia","DeKalb","4","2","1","2017","30058","Rck Chapel","Lithonia","Lithonia","Wade G Jurney",
"8121183","$179,000","A","2513 Lewfield Cir","53","Atlanta","DeKalb","4","2","0","1987","30316","Meadowview","Mcnair","Mcnair","Marcus Shirley","Phone: 404-309-8709"
"8117293","$179,000","A","1162 Upper Sweetwater Trl","112","White","Cherokee","3","2","0","2007","30184-3431","Knox","Teasley","Cherokee","Amanda Abernathy","Phone: 4042815298ext. 0"
"8123417","$179,050","A","6624 Jules Trce","33","Palmetto","Fulton","4","2","1","2017","30268","E C West","Bear Creek","Creekside","Felecia Sneed","Phone: 7708961200"
"8116789","$179,500","A","4409 Woodward Mill Rd","62","Sugar Hill","Gwinnett","3","2","0","1982","30518-4861","Sugar Hill","Lanier","Lanier","Jennifer Michaels","Phone: 6783556019"
"8118673","$179,900","A","1898 Sandtown Rd","31","Atlanta","Fulton","3","2","0","1947","30311-3465","Tuskegee","Brown","Washington","Maurice Hill","Phone: 678-754-8000ext. 211"
"8125252","$179,900","A","3029 Demooney Rd","33","Atlanta","Fulton","3","2","0","1978","30349-1127","Cliftondle","Sandtown","Lgstn Hghs","Desiree Smith","Phone: 6788866230ext. 0"
"8123071","$179,990","A","1552 Pointe South Cir","301","Bethlehem","Barrow","4","2","1","2017","30620","Yargo","H Morris","Apalachee","Wade G Jurney",
"8122543","$179,990","A","1945 Pleasant Walk","42","Lithonia","DeKalb","4","2","1","2017","30058","Rck Chapel","Lithonia","Lithonia","Wade G Jurney",
"8116298","$180,000","A","2674 Penders Ridge Trl","41","Ellenwood","DeKalb","4","3","0","2000","30294","Cedar Grve","Cedar Grov","Cedar Grv","Corrinne Hambrick","Phone: 404-348-7447"
"8113760","$180,000","A","4700 Nelda Dr","72","Austell","Cobb","5","3","1","1970","30106","Clarkdale","Garrett","South Cobb","Joseph Casimyr","Phone: 6784816019"
"8113797","$180,000","A","5464 Wg Robinson Rd","262","Gainesville","Hall","4","3","0","2015","30506","Lanier","Chestatee","Chestatee","Vonda Moses","Phone: 706-344-7865"
"8120852","$182,990","A","922 Brenden Dr","161","Hampton","Clayton","4","3","1","2017","30228","Rivers Edg","Lovejoy","Lovejoy","Wade G Jurney",
"8117012","$183,400","A","5138 Summersun","161","Morrow","Clayton","4","2","1","2015","30260","Marshall","Morrow","Morrow","Debbie Axson",
"8122806","$184,900","A","1531 Compton Dr","72","Mableton","Cobb","3","2","0","1969","30126","Sanders","Floyd","South Cobb","Kevin Jordan","Phone: 7708746250"
"8127075","$185,000","A","3787 Mars Hill Rd","75","Acworth","Cobb","4","2","0","1964","30101","Frey","Awtrey","Allatoona","Steve Born","Phone: 404-271-2676"
"8136404","$185,000","A","3041 Michelle Lee Dr","66","Dacula","Gwinnett","4","2","1","2001","30019","Harbins","Mcconnell","Archer","Aubrey Tyson","Phone: 7703303917ext. 0"
"8125868","$185,900","A","465 Pinevale Ct","33","College Park","Fulton","6","4","0","2004","30349","Stonwl Tel","Camp Creek","Westlake","Zareh Najarian",
"8120854","$185,990","A","915 Brenden Dr","161","Hampton","Clayton","4","3","1","2017","30228","Rivers Edg","Lovejoy","Lovejoy","Wade G Jurney",
"8118013","$187,000","A","4298 Persian Ct","61","Snellville","Gwinnett","4","2","1","2004","30039","Partee","Snellville","S Gwinnett","George Bulgin",
"8122595","$187,250","A","2522 Garnet Ave","33","Riverdale","Fulton","4","2","1","2016","30296","Nolan","Mcnair","Banneker","Marchell Smith",
"8126141","$187,400","A","244 Chert Way","33","Atlanta","Fulton","4","2","1","2016","30349","S L Lewis","Mcnair","Banneker","Yolanda Wade","Phone: 404-426-5295"
"8126871","$189,000","A","325 Huntington Cir","222","Alpharetta","Forsyth","3","2","0","1973","30004","Brandywine","Desana","S Forsyth","Oscar M Melara","Phone: 770-265-6804"
"8127789","$189,000","A","3751 Crossvale Rd","43","Lithonia","DeKalb","4","2","1","1970","30038","Flat Rock","Salem","MLK Jr","June A Simmons","Phone: 404-683-0160"
"8122494","$189,000","A","7489 Absinth Dr","33","Atlanta","Fulton","5","3","0","2009","30349","Cliftondle","Renisance","Lgstn Hghs","Alonzo Hunter","Phone: 404-843-2500"
"8123335","$189,000","A","2538 Garrett Cir","41","Doraville","DeKalb","3","1","1","1960","30360-2538","Hightower","Peachtree","Dunwoody","Desiree Martin","Phone: 770-354-7404"
"8116825","$189,265","A","3107 Rex Ridge Ln","161","Rex","Clayton","5","3","0","2016","30273","E Clayton","Adamson","Morrow","Danny A Sowell","Phone: 404-437-5503"
"8114778","$189,900","A","4702 Browns Mill Ln","43","Lithonia","DeKalb","3","2","1","2008","30038","Murphy Can","Salem","Lithonia","Zareh Najarian",
"8123166","$189,900","A","2539 Garrett Cir","41","Doraville","DeKalb","3","1","1","1960","30360","Hightower","Peachtree","Dunwoody","Desiree Martin","Phone: 770-354-7404"
"8124306","$189,900","A","4850 Flakes Mill Rd","43","Ellenwood","DeKalb","3","2","1","1998","30294","N Harris","Chapel Hil","SW Dekalb","Zareh Najarian",
"8118336","$189,900","A","1336 Emerald Ave","24","Atlanta","DeKalb","3","2","0","1947","30316","Meadowview","Mcnair","Mcnair","Ashton Ernst","Phone: 4044193661"
"8119677","$189,900","A","1428 Old Victron School Rd","301","Hoschton","Barrow","3","2","0","1994","30548","Bramlett","Russell","Wnder Brrw","Towne Square Team","Phone: 706-367-4000"
"8121312","$190,000","A","4110 McClendon Way","161","Rex","Clayton","4","3","0","2017","30273","R Smith","Adamson","Morrow","Vanessa Medina",
"8122402","$191,400","A","105 Valdosta Ave","111","canton","Cherokee","4","2","1","2017","30114","Hasty","Teasley","Cherokee","Lindsey Amos","Phone: 6787704335"
"8115483","$192,550","A","3130 Rex Ridge Cir","161","Rex","Clayton","4","2","1","2016","30273","E Clayton","Adamson","Morrow","Danny A Sowell","Phone: 404-437-5503"
"8116496","$193,500","A","4010 Vintage Ct","224","Cumming","Forsyth","2","1","1","2015","30041","Chathooche","Otwell","Frsth Cntl","Southerly Group","Phone: 678-527-6070"
"8120330","$193,835","A","1190 Vienna Ct","161","Hampton","Clayton","4","2","1","2017","30228","Rivers Edg","E W Acad","Lovejoy","Sheila D Hines","Phone: 404-277-8391"
"8122823","$194,900","A","4185 Kenwood Trl","33","Atlanta","Fulton","5","3","0","2008","30349","Seabrn Lee","Camp Creek","Westlake","Elrier B Railey","Phone: 4044496871"
"8122951","$194,900","A","2816 Riders Ct","63","Dacula","Gwinnett","4","2","1","2006","30019","Dacula","Dacula","Dacula","Carolyn Goddard","Phone: 678-858-7599"
"8124707","$194,900","A","520 Georgian Hills Dr","66","Lawrenceville","Gwinnett","4","2","0","1995","30045","Alcova","Dacula","Dacula","Sarid C Castillo","Phone: 4044514246ext. 4246"
"8123062","$194,990","A","1556 Pointe South Cir","301","Bethlehem","Barrow","3","3","1","2017","30620","Yargo","H Morris","Apalachee","Wade G Jurney",
"8114279","$195,000","A","1542 S Gordon St","31","Atlanta","Fulton","6","2","0","1930","30310","Tuskegee","Brown","Washington","Erika Brown",
"8122898","$196,500","A","1718 Sawgrass Cv","261","Gainesville","Hall","4","2","1","2007","30501","Enota","Gainesvill","Gainesvl","Teresa Johnson","Phone: 404-861-2788"
"8125340","$196,900","A","397 Buckeye Rd","171","Fayetteville","Fayette","3","2","0","1978","30214","R J Burch","Flat Rock","Sandy Crk","Steven A Freeman","Phone: 770-318-8767"
"8123068","$196,990","A","1554 Pointe South Cir","301","Bethlehem","Barrow","4","2","1","2017","30620","Yargo","H Morris","Apalachee","Wade G Jurney",
"8120862","$197,990","A","903 Brenden Dr","161","Hampton","Clayton","4","2","1","2017","30228","Rivers Edg","Lovejoy","Lovejoy","Wade G Jurney",
"8123831","$198,500","A","3127 Mill Run","62","Duluth","Gwinnett","4","2","1","1980","30097-2119","Chathooche","Duluth","Duluth","Jesus Cardoza","Phone: 678-855-3595"
"8122361","$199,900","A","3019 Boulder Creek Rd","65","Snellville","Gwinnett","4","3","0","2005","30039","Norton","Snellville","S Gwinnett","Danka Jaganjac","Phone: 770-314-4716"
"8126794","$199,900","A","3381 Rozena Way","65","Loganville","Gwinnett","3","2","0","2005","30052-5864","Magill","Grace Snl","S Gwinnett","Bonnie Cato","Phone: 770-601-0829"
"8126494","$199,900","A","4091 Butternut Pl","33","Atlanta","Fulton","4","3","0","2008","30349-8109","Other","Other","Other","Donna L Edmond","Offic: 4042544722"
"8116277","$199,900","A","1003 Creek Bottom","66","Loganville","Gwinnett","4","2","1","2006","30052","W J Cooper","Mcconnell","Archer","Garfield G McCook","Phone: 678-778-6335"
"8126309","$199,995","A","2640 Austin Ridge Dr","63","Dacula","Gwinnett","4","2","1","2006","30019","Dacula","Dacula","Dacula","John P Okooboh","Phone: 404-610-3280"
"8133755","$199,999","A","1997 SW Sandtown","31","Atlanta","Fulton","3","2","0","1940","30311","Cascade","Bunche","Therrell","Adrienne I Martin",
"8113926","$200,000","A","806 Smithstone Rd","83","Marietta","Cobb","4","2","0","1962","30067-6748","Eastvalley","E Cobb","Wheeler","Carol Williams","Phone: 6788963012"
"8123055","$203,990","A","1558 Pointe South Cir","301","Bethlehem","Barrow","3","2","1","2017","30620","Yargo","H Morris","Apalachee","Wade G Jurney",
"8119282","$205,000","A","7102 Cavender Dr","33","Atlanta","Fulton","5","3","0","2006","30331","Cliftondle","Sandtown","Lgstn Hghs","Almeta Y Folds","Phone: 404-217-2439"
"8128874","$205,000","A","5819 Rex Ridge Loop","161","Rex","Clayton","4","2","1","2016","30273","E Clayton","Adamson","Morrow","Jullie Glass","Phone: 7062079860"
"8126542","$205,900","A","405 Sheringham Ct","14","Roswell","Fulton","3","3","0","1983","30076","Northwood","Haynes Br","Centennial","Robert Carrino","Phone: 678-465-7091"
"8116779","$208,410","A","3101 Rex Ridge Ln","161","Rex","Clayton","5","3","0","2017","30273","E Clayton","Adamson","Morrow","Danny A Sowell","Phone: 404-437-5503"
"8123376","$209,400","A","556 Winder Trl","111","canton","Cherokee","3","2","0","2016","30114","Hasty","Teasley","Cherokee","Lindsey Amos","Phone: 6787704335"
"8122218","$209,900","A","1837 Lyle","31","College Park","Fulton","3","2","0","1930","30337","Other","Other","Banneker","Joan M Shorter","Phone: 678-508-6811ext. 20"
"8120338","$209,900","A","4238 Sir Dixon Dr","33","Fairburn","Fulton","4","2","1","2014","30213","Renaisance","Renisance","Lgstn Hghs","Michael Price","Phone: 678-559-7826"
"8114083","$210,000","A","1891 Kingston Way","64","Lawrenceville","Gwinnett","4","2","1","1979","30044-5326","Cedar Hill","J Richards","Discovery","Mark Zsoldos","Phone: 4043093860"
"8116908","$211,900","A","7958 Pikefarm Trl","33","Fairburn","Fulton","4","2","1","2016","30213","Renaisance","Renisance","Lgstn Hghs","Latika Archuleta","Phone: 7702312253"
"8122028","$213,000","A","4861 Rock Hill Spring Ct","43","Ellenwood","DeKalb","4","2","1","2012","30294","Chapl Hill","Salem","MLK Jr","Lydia F Riddle","Phone: 404-403-8817"
"8127062","$214,900","A","3984 Mapleton Downs","75","Kennesaw","Cobb","3","2","1","1997","30144-5707","Kennesaw","Awtrey","North Cobb","Michael Vigdorov","Phone: 4045901819"
"8127087","$215,000","A","394 Saint Albans Ct","72","Mableton","Cobb","3","2","0","1984","30126","Mableton","Floyd","South Cobb","Wendy R Bunch","Phone: 770-528-9655"
"8133202","$215,000","A","5036 Estonian Dr","33","Fairburn","Fulton","4","3","0","2006","30213","Renaisance","Renisance","Lgstn Hghs","Gloria Speed","Phone: 404-456-5835"
"8129546","$215,000","A","6786 Pea Ridge","224","Gainesville","Forsyth","4","2","0","2002","30506","Chestatee","N Forsyth","N Forsyth","Gregory Willis","Phone: 6782310841"
"8125555","$215,000","A","2818 Everwood Pte","73","Marietta","Cobb","5","3","1","1998","30008","Birney","Smitha","Osborne","John K Thur","Phone: 770-528-9763"
"8119232","$215,000","A","480 Debra Dr","81","Marietta","Cobb","4","2","0","1975","30066-0000","Bells Fry","Daniell","Sprayberry","Peter Marks","Phone: 4042387247ext. 9484"
"8127346","$215,500","A","7835 Shertall","33","Fairburn","Fulton","4","2","1","2017","30213","S L Lewis","Bear Creek","Creekside","Penelope Covington","Phone: 678-933-9524"
"8122782","$216,581","A","7843 Shertall St","33","Fairburn","Fulton","4","3","0","2017","30213","S L Lewis","Bear Creek","Creekside","Penelope Covington","Phone: 678-933-9524"
"8126868","$219,000","A","3317 Sweetwater Dr","64","Lawrenceville","Gwinnett","3","3","0","1967","30044","Knight","Trickum","Parkview","Paula Debrosse","Phone: 678-641-6874"
"8114264","$219,000","A","165 Patriots Walk","171","Fayetteville","Fayette","3","2","1","1987","30214","N Fayette","Flat Rock","Sandy Crk","Janice Walker","Phone: 678-485-6866"
"8120206","$219,020","A","5732 Pahaska Ct","161","Ellenwood","Clayton","5","3","0","2017","30294","E Clayton","Adamson","Morrow","Tamra J Wade","Phone: 6788042595"
"8118416","$219,900","A","2783 Quillians Dr","262","Gainesville","Hall","4","3","0","1987","30506","Wauka Mnt","NHall","North Hall","Janie Savage","Phone: 770-654-3513ext. 1"
"8115036","$219,900","A","46 Amherst Dr","301","Winder","Barrow","4","2","1","2017","30680","Holsenbeck","Winder Bar","Wnder Brrw","Monica Battle","Phone: 770-256-2174"
"8122683","$220,000","A","3322 Kittery","65","Snellville","Gwinnett","5","2","1","2000","30039","Partee","Shiloh","Shiloh","Courtney Smith","Phone: 404-997-2534"
"8119583","$224,000","A","1446 Wilson Manor Cir","66","lawrenceville","Gwinnett","5","3","1","2006","30045","Alcova","Dacula","Dacula","Delores Williams","Phone: 7702350445"
"8120368","$224,835","A","11101 Torino Dr","161","Hampton","Clayton","4","2","1","2016","30228","Rivers Edg","E W Acad","Lovejoy","Sherry P Bivins","Phone: 678-485-0469"
"8120174","$224,900","A","3032 Sylvan Rd","21","Hapeville","Fulton","3","2","1","1940","30354","Hapeville","P D West","Tri Cities","Joel D Elliott","Phone: 7703759790ext. 112"
"8122326","$224,900","A","4319 Highland Gate","262","Gainesville","Hall","3","2","0","2017","30506","Wauka Mnt","NHall","North Hall","Cook RES Team","Phone: 7705406268"
"8122037","$225,000","A","5033 Clarks Bridge","262","Gainesville","Hall","4","2","0","1966","30506","Wauka Mnt","NHall","North Hall","Oma Millwood","Phone: 770-757-6758"
"8121419","$225,000","A","1401 Low Water Way","66","Lawrenceville","Gwinnett","4","2","1","2004","30045","W J Cooper","Mcconnell","Archer","Linda Brooks Horton","Phone: 4049360090"
"8122947","$226,373","A","657 Sunflower Dr","111","Canton","Cherokee","3","2","1","2016","30114","Hasty","Teasley","Cherokee","Crystal Deese",
"8120531","$227,500","A","1656 Hollow Brook Ct","62","Sugar Hill","Gwinnett","3","2","1","2015","30518-2870","Sycamore","Lanier","Lanier","Dana Gregory","Phone: 770-616-8889"
"8122215","$228,340","A","3925 Village Crossing Ln","161","Ellenwood","Clayton","4","2","1","2017","30294","Anderson","Adamson","Morrow","Tamra J Wade","Phone: 6788042595"
"8122249","$229,900","A","1610 Charleston Walk","52","Atlanta","DeKalb","4","3","0","2001","30316","R E McNair","Mcnair","Mcnair","Tonya Marlatt","Phone: 404-518-8787"
"8117111","$229,900","A","7191 Thoreau Cir","33","Atlanta","Fulton","5","4","0","2005","30349","Cliftondle","Sandtown","Lgstn Hghs","True Visions Team","Phone: 6787912012"
"8118423","$230,000","A","1110 SW Lake Lucerne","64","Lilburn","Gwinnett","4","3","0","2000","30047","Camp Creek","Trickum","Parkview","Jacob Scott","Phone: 404-664-7190"
"8113897","$230,000","A","4297 Earney Rd","113","Woodstock","Cherokee","4","2","0","1980","30188","Mtn Road","Dean Rusk","Sequoyah","Glenn Team","Phone: 6784310055"
"8120717","$230,380","A","5701 Sawgrass Cir","43","Lithonia","DeKalb","4","2","1","2016","30038","Flat Rock","Salem","MLK Jr","Yvonne Triplett","Phone: 7707896117"
"8124957","$230,988","A","7712 Volion Dr","33","Fairburn","Fulton","4","2","1","2017","30213","S L Lewis","Bear Creek","Creekside","Penelope Covington","Phone: 678-933-9524"
"8122600","$231,000","A","1894 Eastfield St","52","Decatur","DeKalb","3","2","1","2004","30032","Toney","Columbia","Columbia","Ramona T Scott","Phone: 404-791-1700"
"8128326","$234,694","A","3458 Spring Azalea Ct","73","Powder Springs","Cobb","3","2","1","2017","30127","Powder Spr","Cooper","Mceachern","Valyn Cole","Phone: 6784675098ext. 0"
"8121150","$234,800","A","201 Arrow Wood Dr","111","Waleska","Cherokee","4","2","1","1995","30183-2895","R M Moore","Teasley","Cherokee","Maria Sims","Phone: 404-805-0673"
"8123805","$234,900","A","4011 McDowell Dr","75","Acworth","Cobb","4","3","1","2003","30101","Acworth","Barber","North Cobb","Kristy M Vallee","Phone: 6788042468"
"8118292","$235,000","A","2642 Athens Hwy","263","Gainesville","Hall","3","2","0","1996","30507-7461","Tadmore","East Hall","East Hall","Tina Montrois","Phone: 7706543553"
"8116261","$235,000","A","1509 Woodfern","52","Decatur","DeKalb","4","2","0","1953","30030","Avondale","Druid Hill","Druid Hlls","Jacqueline A Jones","Phone: 770-323-8878"
"8116399","$239,000","A","89 Gloster Park","64","Lawrenceville","Gwinnett","4","2","1","2013","30044","J A Alford","J Richards","Discovery","Kim T Le","Phone: 770-717-5626"
"8131159","$239,000","A","1480 Hillcrest","62","Sugar Hill","Gwinnett","5","3","0","1965","30518","Sycamore","Lanier","Lanier","Luc Tran","Phone: 6783103687"
"8128688","$239,900","A","7307 Wood Hollow Way","42","Stone Mountain","DeKalb","5","4","1","1991","30087","Rockbridge","Stephenson","Stephenson","Terracia K Brown","Phone: 404-906-2484"
"8117567","$239,900","A","2193 E Maddox Rd","62","Buford","Gwinnett","3","2","0","1986","30519","Buford","Buford","Buford","Jamie Parker","Phone: 404-483-7816"
"8128332","$240,244","A","3456 Spring Azalea Ct","73","Powder Springs","Cobb","3","2","1","2017","30127","Powder Spr","Cooper","Mceachern","Valyn Cole","Phone: 6784675098ext. 0"
"8118970","$240,400","A","3725 Sycamore Bnd","43","Decatur","DeKalb","4","2","1","2017","30034","Oak View","Cedar Grov","Cedar Grv","Brian C Bullard","Phone: 7706307597"
"8120729","$240,565","A","5713 Sawgrass Cir","43","Lithonia","DeKalb","4","2","1","2016","30038","Flat Rock","Salem","MLK Jr","Yvonne Triplett","Phone: 7707896117"
"8119810","$242,360","A","816 Rainsong Way","33","Atlanta","Fulton","4","2","1","2017","30331","Stonwl Tel","Sandtown","Westlake","Renada S McMickle","Phone: 404-538-7130"
"8123441","$242,490","A","4400 Henry Rd","65","Snellville","Gwinnett","4","3","0","2017","30039","Andrson Lv","Shiloh","Shiloh","Bettye Marks","Phone: 770-318-6533"
"8118701","$243,490","A","3551 Hancock Vw","43","Decatur","DeKalb","4","2","1","2017","30034-5023","Chapl Hill","Chapel Hil","SW Dekalb","Tamra J Wade","Phone: 6788042595"
"8132672","$245,000","A","2357 Twenty One Cotton","64","Lawrenceville","Gwinnett","4","2","1","1975","30044","Craig","Five Forks","Brookwood","Kari Green","Offc: 404-876-4901"
"8116332","$245,000","A","1861 Shorline Trce","65","Grayson","Gwinnett","3","2","1","1987","30017","Grayson","Bay Creek","Grayson","Angela Shelnutt","Phone: 6788581854ext. 0"
"8118307","$245,218","A","496 Briarberry Ct","62","Lawrenceville","Gwinnett","4","2","1","2017","30046","Simonton","J Richards","Central","Gary Moran","Phone: 678-283-4957"
"8114173","$245,900","A","4519 Hidden Creek Dr","265","Gainesville","Hall","4","2","0","2016","30504","Gainesvill","Gainesvill","Gainesvl","4 Aces Real Estate","Phone: 6789712237ext. 0"
"8126183","$245,990","A","4354 Luke Way","43","ellenwood","DeKalb","4","3","0","2016","30294","Browns Mil","Salem","MLK Jr","Johndell E Sanders","Phone: 4044839140"
"8113870","$246,990","A","4525 Creekside Cv","33","College Park","Fulton","4","2","1","2017","30349","Seabrn Lee","Camp Creek","Westlake","Tamra J Wade","Phone: 6788042595"
"8116984","$246,990","A","3818 Addison Glen Way","43","Lithonia","DeKalb","5","3","0","2017","30038","Browns Mil","Salem","MLK Jr","Tamra J Wade","Phone: 6788042595"
"8124374","$248,100","A","445 Sawgrass Vw","33","Fairburn","Fulton","4","2","1","2017","30213","E C West","Bear Creek","Creekside","Mashella Hampton","Phone: 770-634-3322"
"8162617","$249,000","A","1451 Scenic Pines Dr","64","Lawrenceville","Gwinnett","3","2","1","2006","30044","Craig","A C Crews","Brookwood","Vu Nguyen","Phone: 4045121882"
"8115171","$249,000","A","1196 Clear Stream Ridge","63","Auburn","Gwinnett","4","2","1","2015","30011","Mulberry","Dacula","Dacula","Anna Mills","Phone: 678-886-7014"
"8130414","$249,900","A","1810 Babbling Brook","74","Acworth","Cobb","4","2","1","1998","30102","Pitner","Palmer","North Cobb","Esther O Ayuk","Phone: 404-699-0116"
"8126456","$249,900","A","2180 Memorial Dr","24","Atlanta","DeKalb","3","2","0","1947","30317","Toomer","Coan","Grady","Patrick Peyer","Phone: 404-564-5560"
"8118565","$249,900","A","170 Heritage Lake Dr","171","Fayetteville","Fayette","4","2","1","1990","30214","Fayettvill","Benetts Ml","Fayette Co","Brent Sullenberger","Phone: 404-993-4437"
"8119419","$249,900","A","345 Cotton Ct","14","Alpharetta","Fulton","3","2","1","1992","30022","St Br Cros","Taylor Rd","Chttahchee","Greg Kurzner","Phone: 6788699000"
"8127043","$250,000","A","203 Toonigh Way","113","Canton","Cherokee","4","2","1","2006","30115-6061","Avery","Creekland","Creekview","Brett Reece","Phone: 6784644746"
"8114382","$250,000","A","2454 Crestview Ave","52","Decatur","DeKalb","3","2","0","1950","30032","Toney","Columbia","Columbia","Winsetta Montgomery","Phone: 6788999364"
"8122126","$252,590","A","6950 Annie Walk","43","Lithonia","DeKalb","5","3","0","2017","30038","Browns Mil","Salem","MLK Jr","Tamra J Wade","Phone: 6788042595"
"8118255","$254,900","A","3906 Oak Harbour Dr","262","Gainesville","Hall","4","2","0","1976","30506-3052","Mt Vernon","NHall","North Hall","Dana Gregory","Phone: 770-616-8889"
"8126178","$254,900","A","1836 Lake Arrowhead Dr","111","Waleska","Cherokee","3","2","0","1999","30183-4415","R M Moore","Teasley","Cherokee","Lisa Steele","Phone: 770-598-9274"
"8126383","$254,900","A","4211 Smithfield Dr","41","Tucker","DeKalb","3","2","0","1963","30084","Brockett","Tucker","Tucker","Dede Karafotias","Phone: 404-321-0030"
"8126707","$255,000","A","207 Harmony Lake Dr","113","Canton","Cherokee","4","3","1","2004","30115","Indian Kn","Dean Rusk","Sequoyah","Kyle W Barrett","Phone: 770-861-6306"
"8125526","$255,000","A","5515 Falls Landing Dr","222","Cumming","Forsyth","3","2","1","2008","30040","Vickery Cr","Vickery Cr","W. Forsyth","Michelle T Stancil","Phone: 770-889-3128"
"8130525","$255,000","A","3236 Bridge Walk Dr","64","Lawrenceville","Gwinnett","4","2","1","2005","30044","Gwin Oaks","Five Forks","Brookwood","Rosina Lakhani","Phone: 770-363-7676"
"8126942","$255,440","A","4584 Blue Sky Ct","43","Lithonia","DeKalb","5","3","0","2017","30038","Browns Mil","Salem","MLK Jr","Tamra J Wade","Phone: 6788042595"
"8118628","$255,990","A","12386 Coldstream Ct","161","Hampton","Clayton","3","2","0","2017","30228","Rivers Edg","E W Acad","Lovejoy","Mary L Pendexter","Phone: 7703805715"
"8115198","$256,000","A","2451 Overlook Ave","42","Lithonia","DeKalb","5","3","0","2016","30058","Rck Chapel","Lithonia","Lithonia","Frederick Washington","Phone: 4045577295"
"8121111","$257,900","A","1965 Streamwood Dr","65","Loganville","Gwinnett","5","4","0","1992","30052","Rosebud","Snellville","S Gwinnett","Ivan K West","Phone: 6783793496"
"8124515","$257,900","A","8476 Members Dr","161","Jonesboro","Clayton","3","2","0","2010","30236","Arnold","Roberts","Jonesboro","Christine J Flanigan","Phone: 404-307-1654"
"8123827","$258,732","A","5940 Park Bend Ave","264","Braselton","Hall","4","3","0","2017","30517","Chsnut Mnt","C W Davis","Flwry Brnc","Kenneth Giles","Phone: 678-614-0200"
"8121825","$259,900","A","3570 Eagle Landing Dr","65","Snellville","Gwinnett","5","3","1","1986","30039-8602","Norton","Snellville","S Gwinnett","Ken Guillen","Phone: 7703168072"
"8132007","$259,900","A","5649 Wooded Valley Way","265","Flowery Branch","Hall","4","2","1","2017","30542","Sp Springs","C W Davis","Flwry Brnc","Jamie Thompson","Phone: 678-920-3552"
"8113952","$259,900","A","2993 Ravenwolfe Way","65","Snellville","Gwinnett","6","3","0","1978","30039","Annistown","Shiloh","Shiloh","Mark Myers","Phone: 770-554-7230"
"8113751","$260,000","A","587 Wynmeadow Ct","42","Stone Mountain","DeKalb","5","3","0","2000","30087","Wynbrooke","Stephenson","Stephenson","Randy Williams","Offc: 770-217-1203"
"8125695","$260,000","A","1851 Hillside Bend Xing","63","Lawrenceville","Gwinnett","4","3","1","2002","30043","Wdwrd Ml","Twin River","Mtn View","Michele A Radtke","Phone: 6782879043"
"8117535","$260,000","A","170 Royal Ridge Way","171","Fayetteville","Fayette","3","2","0","1987","30215","S H Minter","Whitewater","Whitewater","Dorrie Love","Phone: 404-513-0976"
"8119418","$260,000","A","1024 Allene","31","Atlanta","Fulton","3","2","1","1928","30310","Gideons","Sylvan Hil","Carver","Steven A Barlow","Phone: 404-732-3541"
"8123722","$261,755","A","5948 Park Bend Ave","264","Braselton","Hall","4","2","1","2017","30517","Chsnut Mnt","C W Davis","Flwry Brnc","Kenneth Giles","Phone: 678-614-0200"
"8118633","$262,990","A","758 Ridgeview Ct","161","Hampton","Clayton","4","2","0","2017","30228","Rivers Edg","E W Acad","Lovejoy","Mary L Pendexter","Phone: 7703805715"
"8127411","$263,900","A","7952 White Oak Loop","43","Lithonia","DeKalb","4","2","1","2016","30038","Murphy Can","Lithonia","Lithonia","Tara Tillman","Phone: 404-425-3391"
"8118106","$263,991","A","2881 Ellenwood Village Way","161","Ellenwood","Clayton","5","4","0","2017","30294","Marshall","Morrow","Morrow","Ivonda Mitchell","Phone: 6785751332"
"8115204","$264,000","A","2430 Overlook Ave","42","Lithonia","DeKalb","5","3","0","2016","30058","Rck Chapel","Lithonia","Lithonia","Frederick Washington","Phone: 4045577295"
"8118070","$264,520","A","2896 Raton Cv","53","Lithonia","DeKalb","5","4","0","2016","30038","Browns Mil","Stephenson","Lithonia","Chantell Dawkins","Phone: 6784577992"
